ID, Name, Part Number, ECU
ECU #1,
[0xD100], Active Diagnostic Session:, defaultSession, Seat Control Module C 
[0xF163], Diagnostic Specification Version:, GGDS 31810161 Issue 003 ,Seat Control Module C 
[0xF111], ECU Core Assembly Number:, DU5T-14G009-CC ,Seat Control Module C 
[0xF113], ECU Delivery Assembly Number:, GU5T-14F548-AC,Seat Control Module C 
[0xF110], Diagnostic Part Number:, DS-GU5T-14F548-AA,Seat Control Module C 
[0xF188], ECU Software Part Number:, DU5T-14G003-CC,Seat Control Module C 
[0xF18C], ECU Serial Number:, 01FZ,Seat Control Module C 
[0xF15F], NOS Generation Tool Version:, Vector 0x08070001010058010000,Seat Control Module C 
[0xF166], NOS Message Database #1 Version:, 16/October/2013  Version:  17,Seat Control Module C 
[0xF159], NOS CAN Driver Version Number:, 02.21.04,Seat Control Module C 
[0xF15C], NOS Interaction Layer Version Number:, 05.03.00,Seat Control Module C 
[0xF15E], NOS Network/Transport Layer Version Number:, 03.04.17,Seat Control Module C 
[0xF160], NOS Diagnostic Version Number:, 05.07.25,Seat Control Module C 
[0xF161], NOS CAN Communication Layer Version Number:, 02.11.00,Seat Control Module C 

ECU #2,
[0xD100], Active Diagnostic Session:, defaultSession,Image Processing Module "A"
[0xF163], Diagnostic Specification Version:, GGDS 31810161 Issue 003,Image Processing Module "A"
[0xF111], ECU Core Assembly Number:,GD9T-14G025-DA,Image Processing Module "A"
[0xF113], ECU Delivery Assembly Number:, GU5A-17E678-DA,Image Processing Module "A"
[0xF110], Diagnostic Part Number:, DS-FU5A-17E678-MF,Image Processing Module "A"
[0xF188], ECU Software Part Number:, HS7T-14G019-CA003,Image Processing Module "A"
[0xF120], ECU Software 2 Part Number:, HS7T-14G082-CA002,Image Processing Module "A"
[0xF10A], ECU Cal-Config Part Number:, GD9T-14G024-DA002,Image Processing Module "A"
[0xF16B], ECU Cal-Config #2 Part Number:, HS7T-14G081-CA002,Image Processing Module "A"
[0xF18C], ECU Serial Number:, Invalid Format (0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF),Image Processing Module "A"
[0xF15F], NOS Generation Tool Version:, Vector 0x08070001010033010000,Image Processing Module "A"
[0xF166], NOS Message Database #1 Version:, 6/September/2013  Version:  05,Image Processing Module "A"
[0xF159], NOS CAN Driver Version Number:, 03.10.00,Image Processing Module "A"
[0xF15B], NOS Network Management Junior Version Number:, 01.26.02,Image Processing Module "A"
[0xF15C], NOS Interaction Layer Version Number:, 05.03.00,Image Processing Module "A"
[0xF15E], NOS Network/Transport Layer Version Number:, 03.04.17,Image Processing Module "A"
